Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Air Force,0,11,29,22.0,7.0,0.7586206896551724,12.0,2.0,0.8571428571428571,59.9,50.9,9.0,9.12,0.08,585,1216,0.4810855263157895,340,569,0.5975395430579965,245,647,0.3786707882534776,322,453,0.7108167770419426,623,386,225,68,1737
Alabama-Birmingham,2,9,32,22.0,10.0,0.6875,12.0,4.0,0.75,75.4,69.3,6.1000000000000085,11.76,5.63,882,2006,0.43968095712861416,669,1360,0.4919117647058823,213,646,0.32972136222910214,437,656,0.6661585365853658,1119,564,371,115,2414
Alabama State,0,16,31,16.0,15.0,0.5161290322580645,11.0,7.0,0.6111111111111112,61.4,61.7,-0.30000000000000426,-11.1,-10.78,639,1523,0.4195666447800394,466,1006,0.46322067594433397,173,517,0.3346228239845261,453,691,0.6555716353111433,1066,315,219,95,1904
Alabama,3,8,33,20.0,13.0,0.6060606060606061,8.0,8.0,0.5,72.1,68.0,4.099999999999994,14.29,10.2,813,1802,0.451165371809101,580,1186,0.48903878583473864,233,616,0.3782467532467532,521,735,0.708843537414966,1148,395,213,111,2380
Arizona,0,9,30,20.0,10.0,0.6666666666666666,11.0,7.0,0.6111111111111112,87.1,78.5,8.599999999999994,15.3,6.63,942,1938,0.48606811145510836,723,1370,0.5277372262773723,219,568,0.3855633802816901,511,650,0.7861538461538462,1177,560,206,135,2614
Boston College,1,6,34,24.0,10.0,0.7058823529411765,10.0,6.0,0.625,68.0,63.2,4.799999999999997,11.99,7.17,819,1799,0.45525291828793774,691,1406,0.4914651493598862,128,393,0.3256997455470738,546,804,0.6791044776119403,1224,543,241,102,2312
BYU,0,12,30,21.0,9.0,0.7,10.0,4.0,0.7142857142857143,73.3,65.5,7.799999999999997,12.7,6.3,764,1571,0.4863144493952896,593,1084,0.5470479704797048,171,487,0.351129363449692,501,692,0.7239884393063584,1017,445,208,98,2200
UCF,0,14,31,25.0,6.0,0.8064516129032258,17.0,3.0,0.85,70.4,61.8,8.600000000000009,1.86,-5.87,792,1732,0.45727482678983833,560,1074,0.521415270018622,232,658,0.3525835866261398,365,510,0.7156862745098039,1129,520,279,141,2181
Charlotte,0,9,30,21.0,9.0,0.7,12.0,4.0,0.75,79.1,71.6,7.5,12.24,4.7,812,1805,0.44986149584487534,580,1123,0.5164737310774711,232,682,0.34017595307917886,518,798,0.6491228070175439,1220,484,264,90,2374
Cincinnati,1,4,32,25.0,7.0,0.78125,12.0,4.0,0.75,76.7,64.2,12.5,18.75,6.28,867,1893,0.45800316957210774,630,1281,0.4918032786885246,237,612,0.3872549019607843,484,723,0.669432918395574,1197,517,241,168,2455
UConn,5,2,39,33.0,6.0,0.8461538461538461,12.0,4.0,0.75,78.8,63.9,14.899999999999999,22.64,7.77,1154,2403,0.48023304203079487,905,1784,0.5072869955156951,249,619,0.40226171243941844,516,828,0.6231884057971014,1742,681,233,315,3073
Dayton,0,10,33,24.0,9.0,0.7272727272727273,12.0,4.0,0.75,68.0,64.5,3.5,7.11,3.56,780,1746,0.44673539518900346,573,1102,0.5199637023593466,207,644,0.32142857142857145,477,717,0.6652719665271967,1266,489,150,94,2244
DePaul,1,7,32,22.0,10.0,0.6875,12.0,4.0,0.75,70.5,67.8,2.700000000000003,9.06,6.38,813,1755,0.46324786324786327,650,1305,0.49808429118773945,163,450,0.3622222222222222,468,671,0.6974664679582713,1159,437,176,74,2257
Duke,4,1,37,31.0,6.0,0.8378378378378378,13.0,3.0,0.8125,79.8,65.0,14.799999999999997,25.67,10.86,1018,2161,0.47107820453493754,755,1439,0.5246699096594858,263,722,0.36426592797783935,655,890,0.7359550561797753,1351,536,340,240,2954
ETSU,0,13,33,27.0,6.0,0.8181818181818182,15.0,1.0,0.9375,79.3,69.4,9.899999999999991,4.19,-3.15,946,2059,0.45944633317144246,745,1479,0.5037187288708587,201,580,0.34655172413793106,525,762,0.6889763779527559,1269,505,382,192,2618
Eastern Washington,0,15,30,17.0,13.0,0.5666666666666667,11.0,3.0,0.7857142857142857,70.1,67.8,2.299999999999997,0.83,-0.34,747,1574,0.47458703939008895,568,1086,0.5230202578268877,179,488,0.3668032786885246,429,608,0.7055921052631579,918,480,192,49,2102
