Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama State,0,16,31,22.0,9.0,0.7096774193548387,15.0,3.0,0.8333333333333334,68.9,63.9,5.000000000000007,-8.86,-13.61,756,1713,0.4413309982486865,591,1207,0.4896437448218724,165,506,0.32608695652173914,458,696,0.6580459770114943,1245,410,260,93,2135
Arizona,0,2,36,28.0,8.0,0.7777777777777778,15.0,3.0,0.8333333333333334,81.3,66.3,15.0,26.84,12.56,1015,2131,0.47630220553730646,822,1587,0.5179584120982986,193,544,0.3547794117647059,703,940,0.747872340425532,1563,585,283,159,2926
Arkansas,0,7,31,20.0,11.0,0.6451612903225806,10.0,6.0,0.625,79.9,69.4,10.5,16.61,6.16,881,1990,0.44271356783919597,608,1249,0.4867894315452362,273,741,0.3684210526315789,441,639,0.6901408450704225,1223,476,365,124,2476
Boston College,1,3,32,27.0,5.0,0.84375,13.0,3.0,0.8125,79.6,66.5,13.099999999999994,17.99,5.18,879,1934,0.4544984488107549,649,1283,0.5058456742010912,230,651,0.3533026113671275,559,788,0.7093908629441624,1273,464,326,97,2547
BYU,0,12,33,24.0,9.0,0.7272727272727273,10.0,4.0,0.7142857142857143,70.4,62.7,7.700000000000003,10.94,3.47,744,1620,0.45925925925925926,559,1135,0.49251101321585905,185,485,0.38144329896907214,651,835,0.7796407185628742,1126,414,203,108,2324
Butler,1,10,32,24.0,8.0,0.75,11.0,3.0,0.7857142857142857,69.6,60.8,8.799999999999997,12.55,3.98,755,1643,0.45952525867315885,504,1026,0.49122807017543857,251,617,0.406807131280389,467,652,0.7162576687116564,1044,388,222,89,2228
Cal State Northridge,0,13,32,22.0,10.0,0.6875,13.0,3.0,0.8125,82.8,75.3,7.5,5.94,0.24,910,1842,0.494028230184582,693,1295,0.5351351351351351,217,547,0.396709323583181,613,865,0.7086705202312139,1244,608,267,77,2650
University of California,0,8,31,20.0,11.0,0.6451612903225806,11.0,7.0,0.6111111111111112,74.3,68.6,5.700000000000003,14.76,9.08,813,1699,0.4785167745732784,637,1196,0.532608695652174,176,503,0.3499005964214712,502,732,0.6857923497267759,1116,508,225,66,2304
Charlotte,1,9,33,22.0,11.0,0.6666666666666666,10.0,6.0,0.625,78.3,71.9,6.3999999999999915,14.24,7.91,873,1998,0.4369369369369369,568,1150,0.49391304347826087,305,848,0.3596698113207547,532,777,0.6846846846846847,1386,471,231,97,2583
Cincinnati,2,5,35,25.0,10.0,0.7142857142857143,11.0,5.0,0.6875,73.9,65.5,8.400000000000006,16.19,7.84,921,2076,0.4436416184971098,707,1476,0.47899728997289975,214,600,0.3566666666666667,530,760,0.6973684210526315,1344,451,194,118,2586
Creighton,0,10,32,24.0,8.0,0.75,14.0,4.0,0.7777777777777778,72.7,63.2,9.5,12.4,3.0,788,1782,0.44219977553310885,539,1088,0.4954044117647059,249,694,0.35878962536023057,500,712,0.702247191011236,1189,490,293,114,2325
Duke,5,1,39,35.0,4.0,0.8974358974358975,13.0,3.0,0.8125,90.7,70.5,20.200000000000003,32.18,11.97,1217,2530,0.4810276679841897,810,1473,0.5498981670061099,407,1057,0.38505203405865657,697,1002,0.6956087824351297,1680,701,411,196,3538
Eastern Illinois,0,15,31,21.0,10.0,0.6774193548387096,11.0,5.0,0.6875,82.7,78.7,4.0,0.99,-2.46,915,1931,0.47384774728120144,685,1347,0.5085374907201188,230,584,0.3938356164383562,504,650,0.7753846153846153,1194,514,197,116,2564
Florida,1,3,31,24.0,7.0,0.7741935483870968,12.0,4.0,0.75,80.9,67.1,13.800000000000011,21.32,7.51,849,1764,0.4812925170068027,593,1096,0.541058394160584,256,668,0.38323353293413176,555,761,0.7293035479632063,1231,538,271,114,2509
Fresno State,1,9,33,26.0,7.0,0.7878787878787878,13.0,3.0,0.8125,81.5,71.0,10.5,15.65,5.14,954,2030,0.46995073891625616,713,1352,0.5273668639053254,241,678,0.3554572271386431,540,793,0.6809583858764187,1355,592,330,209,2689
George Mason,0,14,30,18.0,12.0,0.6,11.0,5.0,0.6875,70.9,65.4,5.5,5.12,-0.34,784,1705,0.45982404692082113,642,1266,0.5071090047393365,142,439,0.3234624145785877,417,633,0.6587677725118484,1114,411,252,129,2127
Georgetown,2,10,33,25.0,8.0,0.7575757575757576,10.0,6.0,0.625,78.0,67.5,10.5,12.07,1.58,924,2115,0.4368794326241135,738,1554,0.4749034749034749,186,561,0.3315508021390374,540,817,0.6609547123623011,1609,547,324,198,2574
Georgia State,1,11,34,29.0,5.0,0.8529411764705882,16.0,2.0,0.8888888888888888,79.4,68.7,10.700000000000003,5.25,-3.72,929,2068,0.44922630560928434,653,1288,0.5069875776397516,276,780,0.35384615384615387,567,808,0.7017326732673267,1335,449,351,129,2701
Georgia Tech,0,8,30,17.0,13.0,0.5666666666666667,8.0,8.0,0.5,75.6,72.9,2.6999999999999886,14.51,11.78,776,1822,0.42590559824368823,516,1122,0.45989304812834225,260,700,0.37142857142857144,457,662,0.6903323262839879,1241,488,238,136,2269
Georgia,0,8,31,16.0,15.0,0.5161290322580645,9.0,7.0,0.5625,72.8,72.8,0.0,12.67,12.71,845,1820,0.4642857142857143,703,1409,0.49893541518807666,142,411,0.34549878345498786,425,632,0.6724683544303798,1277,471,195,149,2257
Gonzaga,2,12,33,26.0,7.0,0.7878787878787878,13.0,1.0,0.9285714285714286,82.4,68.8,13.600000000000009,12.57,0.32,915,1793,0.5103179029559398,670,1187,0.5644481887110362,245,606,0.4042904290429043,645,947,0.6810982048574445,1392,537,191,135,2720
