Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Air Force,0,13,31,24.0,7.0,0.7741935483870968,12.0,4.0,0.75,64.2,54.7,9.5,10.2,2.49,683,1413,0.48336871903750883,407,729,0.5582990397805213,276,684,0.40350877192982454,348,467,0.7451820128479657,763,445,249,67,1990
Alabama-Birmingham,0,9,31,24.0,7.0,0.7741935483870968,12.0,2.0,0.8571428571428571,74.4,65.6,8.800000000000011,9.64,1.57,822,1816,0.4526431718061674,600,1169,0.5132591958939264,222,647,0.34312210200927357,440,680,0.6470588235294118,971,482,337,111,2306
Alabama,1,10,31,18.0,13.0,0.5806451612903226,10.0,6.0,0.625,70.3,67.5,2.799999999999997,10.79,8.07,758,1662,0.45607701564380265,584,1157,0.5047536732929991,174,505,0.3445544554455445,488,689,0.7082728592162555,1135,379,195,152,2178
Albany (NY),0,16,32,21.0,11.0,0.65625,13.0,3.0,0.8125,68.6,64.5,4.099999999999994,-0.44,-4.25,743,1660,0.4475903614457831,520,1071,0.48552754435107376,223,589,0.37860780984719866,485,682,0.7111436950146628,1077,403,209,81,2194
Arizona,1,8,33,20.0,13.0,0.6060606060606061,11.0,7.0,0.6111111111111112,73.7,68.7,5.0,15.12,10.09,909,2037,0.44624447717231225,767,1592,0.48178391959798994,142,445,0.31910112359550563,473,667,0.7091454272863568,1140,492,322,125,2433
Arkansas,0,8,32,22.0,10.0,0.6875,10.0,6.0,0.625,73.7,64.9,8.799999999999997,15.01,6.17,841,1837,0.4578116494284159,662,1304,0.5076687116564417,179,533,0.33583489681050654,498,720,0.6916666666666667,1118,495,266,194,2359
Belmont,0,15,31,20.0,11.0,0.6451612903225806,15.0,5.0,0.75,80.6,76.0,4.599999999999994,-3.53,-6.72,897,1819,0.4931280923584387,636,1127,0.5643300798580302,261,692,0.37716763005780346,444,643,0.6905132192846034,1099,518,240,110,2499
Boston College,2,4,36,28.0,8.0,0.7777777777777778,11.0,5.0,0.6875,74.2,66.2,8.0,13.79,6.1,949,1958,0.4846782431052094,738,1373,0.5375091041514931,211,585,0.3606837606837607,562,833,0.6746698679471789,1277,639,222,161,2671
Bradley,2,13,33,22.0,11.0,0.6666666666666666,11.0,7.0,0.6111111111111112,71.5,65.1,6.400000000000006,11.78,5.38,848,1933,0.43869632695292293,663,1382,0.479739507959479,185,551,0.33575317604355714,478,666,0.7177177177177178,1241,533,294,151,2359
Bucknell,1,9,32,27.0,5.0,0.84375,14.0,0.0,1.0,66.1,55.8,10.299999999999997,7.29,-2.29,726,1560,0.4653846153846154,530,1057,0.5014191106906338,196,503,0.38966202783300197,466,670,0.6955223880597015,1032,457,279,55,2114
University of California,0,7,31,20.0,11.0,0.6451612903225806,12.0,6.0,0.6666666666666666,68.6,64.5,4.099999999999994,12.3,8.84,717,1598,0.44868585732165206,548,1146,0.4781849912739965,169,452,0.37389380530973454,525,716,0.7332402234636871,1002,402,162,83,2128
UConn,3,1,34,30.0,4.0,0.8823529411764706,14.0,2.0,0.875,81.8,67.1,14.700000000000003,21.22,6.57,988,2088,0.4731800766283525,800,1574,0.5082592121982211,188,514,0.3657587548638132,617,874,0.7059496567505721,1488,541,225,298,2781
Davidson,0,15,31,20.0,11.0,0.6451612903225806,10.0,5.0,0.6666666666666666,77.5,68.9,8.599999999999994,1.89,-3.04,855,1885,0.4535809018567639,578,1134,0.5097001763668431,277,751,0.36884154460719043,416,547,0.7605118829981719,1215,567,151,51,2403
Duke,2,1,36,32.0,4.0,0.8888888888888888,14.0,2.0,0.875,81.1,68.1,13.0,21.77,8.77,979,2011,0.4868224763799105,705,1302,0.5414746543778802,274,709,0.38645980253878703,689,905,0.7613259668508288,1204,546,337,202,2921
Florida,5,3,39,33.0,6.0,0.8461538461538461,10.0,6.0,0.625,78.3,63.5,14.799999999999997,20.21,5.49,1061,2120,0.5004716981132076,772,1382,0.5586107091172214,289,738,0.3915989159891599,641,862,0.7436194895591647,1402,650,297,207,3052
George Mason,4,11,35,27.0,8.0,0.7714285714285715,15.0,3.0,0.8333333333333334,69.4,60.1,9.300000000000004,12.11,2.77,897,1863,0.48148148148148145,691,1284,0.5381619937694704,206,579,0.35578583765112265,429,646,0.6640866873065016,1221,507,249,123,2429
George Washington,1,8,30,27.0,3.0,0.9,16.0,0.0,1.0,78.7,67.5,11.200000000000003,9.63,-0.33,845,1814,0.4658213891951488,663,1303,0.508825786646201,182,511,0.3561643835616438,488,755,0.6463576158940397,1143,511,278,135,2360
Georgetown,2,7,33,23.0,10.0,0.696969696969697,10.0,6.0,0.625,66.0,58.9,7.100000000000001,13.98,6.92,787,1682,0.46789536266349585,564,1054,0.5351043643263758,223,628,0.35509554140127386,380,538,0.7063197026022305,1079,514,199,119,2177
Gonzaga,2,3,33,29.0,4.0,0.8787878787878788,14.0,0.0,1.0,80.1,72.8,7.299999999999997,12.32,5.02,897,1879,0.4773815859499734,715,1379,0.5184916606236403,182,500,0.364,667,853,0.7819460726846424,1239,459,234,94,2643
Illinois,1,4,33,26.0,7.0,0.7878787878787878,11.0,5.0,0.6875,70.0,58.7,11.299999999999997,17.2,6.29,848,1853,0.45763626551538045,607,1185,0.5122362869198313,241,668,0.36077844311377244,374,582,0.6426116838487973,1179,500,203,79,2311
Indiana,1,6,31,19.0,12.0,0.6129032258064516,9.0,7.0,0.5625,72.0,67.2,4.799999999999997,12.1,7.36,797,1730,0.46069364161849713,521,1031,0.5053346265761397,276,699,0.3948497854077253,361,523,0.6902485659655831,1053,466,196,72,2231
Iona,0,13,31,23.0,8.0,0.7419354838709677,13.0,5.0,0.7222222222222222,79.8,72.2,7.599999999999994,6.86,-0.78,881,1835,0.48010899182561306,685,1347,0.5085374907201188,196,488,0.4016393442622951,517,748,0.6911764705882353,1140,481,239,128,2475
Iowa,0,3,34,25.0,9.0,0.7352941176470589,11.0,5.0,0.6875,66.3,58.9,7.399999999999999,14.18,6.8,781,1811,0.4312534511319713,590,1241,0.47542304593070106,191,570,0.3350877192982456,501,706,0.7096317280453258,1285,502,225,167,2254
Kansas,0,4,33,25.0,8.0,0.7575757575757576,13.0,3.0,0.8125,75.2,61.3,13.900000000000006,20.02,7.6,912,1923,0.47425897035881437,707,1384,0.5108381502890174,205,539,0.3803339517625232,451,671,0.6721311475409836,1305,589,323,185,2480
Kent State,0,12,34,25.0,9.0,0.7352941176470589,15.0,3.0,0.8333333333333334,72.3,65.9,6.3999999999999915,6.27,0.0,844,1887,0.4472708002119767,607,1227,0.49470252648736757,237,660,0.35909090909090907,533,745,0.7154362416107383,1130,452,265,82,2458
Kentucky,1,8,35,22.0,13.0,0.6285714285714286,9.0,7.0,0.5625,70.8,66.2,4.599999999999994,13.12,8.88,903,2020,0.44702970297029704,638,1262,0.5055467511885895,265,758,0.3496042216358839,406,601,0.6755407653910149,1265,495,206,106,2477
LSU,4,4,36,27.0,9.0,0.75,14.0,2.0,0.875,73.1,63.9,9.199999999999996,17.54,8.77,972,2092,0.4646271510516252,825,1638,0.5036630036630036,147,454,0.3237885462555066,542,786,0.6895674300254453,1447,547,298,236,2633
Marquette,0,7,31,20.0,11.0,0.6451612903225806,10.0,6.0,0.625,75.0,69.4,5.599999999999994,11.33,8.16,830,1823,0.4552934722984092,567,1160,0.48879310344827587,263,663,0.39668174962292607,402,549,0.73224043715847,1112,482,233,94,2325
Memphis,3,1,37,33.0,4.0,0.8918918918918919,13.0,1.0,0.9285714285714286,80.0,65.5,14.5,18.81,4.24,1034,2291,0.4513312963771279,757,1508,0.5019893899204244,277,783,0.3537675606641124,616,903,0.6821705426356589,1528,566,361,235,2961
Michigan State,0,6,34,22.0,12.0,0.6470588235294118,8.0,8.0,0.5,74.1,68.6,5.5,12.24,7.27,896,1879,0.4768493879723257,692,1339,0.5168035847647499,204,540,0.37777777777777777,524,681,0.7694566813509545,1212,567,214,101,2520
Milwaukee,1,11,31,22.0,9.0,0.7096774193548387,12.0,4.0,0.75,74.0,66.5,7.5,7.65,1.47,797,1832,0.43504366812227074,593,1223,0.4848732624693377,204,609,0.33497536945812806,496,719,0.6898470097357441,1185,389,216,91,2294
