Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama,0,10,29,17.0,12.0,0.5862068965517241,7.0,9.0,0.4375,69.0,65.1,3.9000000000000057,13.36,9.4,695,1653,0.4204476709013914,512,1085,0.471889400921659,183,568,0.3221830985915493,429,602,0.7126245847176079,1079,352,187,112,2002
Arizona State,1,10,32,20.0,12.0,0.625,11.0,7.0,0.6111111111111112,77.0,70.5,6.5,15.01,9.27,886,1838,0.4820457018498368,755,1434,0.5264993026499303,131,404,0.32425742574257427,561,832,0.6742788461538461,1162,506,173,139,2464
Arizona,3,1,32,28.0,4.0,0.875,17.0,1.0,0.9444444444444444,85.2,70.7,14.5,23.42,8.95,973,2111,0.4609189957366177,745,1466,0.5081855388813097,228,645,0.35348837209302325,551,777,0.7091377091377091,1374,569,274,136,2725
Auburn,2,10,34,22.0,12.0,0.6470588235294118,8.0,8.0,0.5,70.8,65.7,5.099999999999994,12.68,8.34,879,1890,0.4650793650793651,681,1317,0.5170842824601367,198,573,0.34554973821989526,452,685,0.6598540145985401,1200,457,269,176,2408
Austin Peay,0,13,31,23.0,8.0,0.7419354838709677,13.0,3.0,0.8125,71.1,67.8,3.299999999999997,-0.84,-1.98,758,1648,0.45995145631067963,566,1095,0.5168949771689497,192,553,0.3471971066907776,496,719,0.6898470097357441,1084,424,225,143,2204
BYU,0,12,32,23.0,9.0,0.71875,11.0,3.0,0.7857142857142857,71.8,63.5,8.299999999999997,13.63,5.29,765,1654,0.4625151148730351,571,1137,0.5021987686895338,194,517,0.37524177949709864,575,762,0.7545931758530183,1134,428,222,82,2299
Butler,2,12,33,27.0,6.0,0.8181818181818182,14.0,2.0,0.875,67.5,60.2,7.299999999999997,9.11,2.23,786,1655,0.47492447129909365,512,956,0.5355648535564853,274,699,0.39198855507868385,383,533,0.7185741088180112,923,420,207,59,2229
University of California,1,8,31,22.0,9.0,0.7096774193548387,13.0,5.0,0.7222222222222222,74.2,70.0,4.200000000000003,11.77,7.58,847,1819,0.46564046179219354,649,1289,0.5034910783553141,198,530,0.37358490566037733,409,601,0.6805324459234608,1095,487,203,87,2301
Central Michigan,1,11,32,25.0,7.0,0.78125,14.0,4.0,0.7777777777777778,79.8,73.3,6.5,6.85,1.79,864,1714,0.5040840140023337,640,1140,0.5614035087719298,224,574,0.3902439024390244,601,789,0.761723700887199,1079,504,237,120,2553
Cincinnati,0,8,29,17.0,12.0,0.5862068965517241,9.0,7.0,0.5625,67.4,61.9,5.500000000000007,12.9,7.45,667,1653,0.40350877192982454,470,1080,0.4351851851851852,197,573,0.343804537521815,423,613,0.6900489396411092,1030,357,152,125,1954
Colorado State,0,14,33,19.0,14.0,0.5757575757575758,5.0,9.0,0.35714285714285715,74.2,71.6,2.6000000000000085,5.38,4.41,876,1733,0.5054818234275822,739,1353,0.5461936437546193,137,380,0.3605263157894737,561,805,0.6968944099378882,1175,514,179,149,2450
Colorado,0,10,32,20.0,12.0,0.625,9.0,7.0,0.5625,75.2,70.3,4.900000000000006,12.82,8.01,869,1961,0.4431412544620092,710,1474,0.4816824966078697,159,487,0.3264887063655031,508,759,0.6693017127799736,1351,424,196,214,2405
UConn,2,5,33,23.0,10.0,0.696969696969697,10.0,6.0,0.625,79.5,71.2,8.299999999999997,15.84,7.62,964,2057,0.46864365580943124,768,1549,0.49580374435119434,196,508,0.3858267716535433,498,736,0.6766304347826086,1407,502,192,253,2622
Creighton,0,6,34,29.0,5.0,0.8529411764705882,15.0,3.0,0.8333333333333334,79.1,64.8,14.299999999999997,15.33,1.03,974,1956,0.49795501022494887,704,1263,0.557403008709422,270,693,0.38961038961038963,470,678,0.6932153392330384,1155,575,283,153,2688
Dayton,0,4,30,24.0,6.0,0.8,14.0,2.0,0.875,72.7,66.9,5.799999999999997,11.0,5.17,738,1638,0.45054945054945056,511,1005,0.5084577114427861,227,633,0.358609794628752,479,671,0.713859910581222,1091,452,159,88,2182
Duke,2,3,33,26.0,7.0,0.7878787878787878,11.0,5.0,0.6875,81.1,69.6,11.5,19.86,8.38,897,1981,0.45280161534578495,653,1309,0.4988540870893812,244,672,0.3630952380952381,639,897,0.7123745819397993,1206,444,286,178,2677
ETSU,0,15,31,20.0,11.0,0.6451612903225806,11.0,5.0,0.6875,82.0,75.2,6.799999999999997,-0.9,-2.94,899,1933,0.4650801862390067,732,1459,0.5017135023989033,167,474,0.35232067510548526,578,791,0.7307206068268015,1201,448,354,156,2543
