Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama,0,2,35,27.0,8.0,0.7714285714285715,12.0,4.0,0.75,75.9,66.7,9.200000000000003,16.93,7.67,910,2071,0.43940125543215836,693,1368,0.506578947368421,217,703,0.30867709815078237,621,844,0.735781990521327,1369,460,257,113,2658
Arizona,2,3,34,24.0,10.0,0.7058823529411765,12.0,6.0,0.6666666666666666,82.1,77.7,4.3999999999999915,16.93,12.48,935,2039,0.45855811672388425,677,1353,0.500369549150037,258,686,0.3760932944606414,665,910,0.7307692307692307,1286,527,207,103,2793
Boston College,0,11,32,20.0,12.0,0.625,8.0,8.0,0.5,73.6,70.5,3.0999999999999943,8.95,5.91,801,1913,0.41871406168322006,589,1284,0.45872274143302183,212,629,0.3370429252782194,540,776,0.6958762886597938,1192,431,259,106,2354
Boston University,0,16,32,22.0,10.0,0.6875,13.0,3.0,0.8125,67.1,64.0,3.0999999999999943,-4.68,-7.81,748,1767,0.42331635540464063,545,1200,0.45416666666666666,203,567,0.35802469135802467,448,651,0.6881720430107527,1200,399,192,84,2147
UCSB,0,14,31,20.0,11.0,0.6451612903225806,11.0,7.0,0.6111111111111112,66.6,60.9,5.699999999999996,5.55,-0.05,693,1544,0.4488341968911917,492,1045,0.47081339712918663,201,499,0.4028056112224449,479,634,0.7555205047318612,1078,454,171,87,2066
University of California,1,6,32,23.0,9.0,0.71875,12.0,6.0,0.6666666666666666,72.2,66.6,5.6000000000000085,13.08,7.45,835,1849,0.45159545700378584,648,1254,0.5167464114832536,187,595,0.3142857142857143,453,669,0.6771300448430493,1087,487,254,132,2310
Central Connecticut,0,14,32,27.0,5.0,0.84375,19.0,1.0,0.95,71.2,63.1,8.100000000000001,-1.1,-9.29,814,1777,0.45807540799099605,675,1380,0.4891304347826087,139,397,0.3501259445843829,513,697,0.7360114777618364,1247,426,215,107,2280
Charlotte,0,9,30,18.0,12.0,0.6,11.0,5.0,0.6875,73.5,68.6,4.900000000000006,13.61,8.68,761,1730,0.4398843930635838,514,1054,0.4876660341555977,247,676,0.36538461538461536,436,616,0.7077922077922078,1136,416,203,72,2205
Cincinnati,1,1,35,31.0,4.0,0.8857142857142857,14.0,2.0,0.875,78.2,60.4,17.800000000000004,24.38,6.58,967,2071,0.46692419121197487,758,1494,0.5073627844712182,209,577,0.36221837088388215,595,839,0.7091775923718713,1396,480,167,154,2738
UConn,3,2,34,27.0,7.0,0.7941176470588235,13.0,3.0,0.8125,77.8,69.2,8.599999999999994,16.02,7.43,972,2012,0.4831013916500994,818,1621,0.5046267735965454,154,391,0.3938618925831202,548,787,0.6963151207115629,1381,494,256,236,2646
Creighton,1,12,32,23.0,9.0,0.71875,14.0,4.0,0.7777777777777778,75.7,68.7,7.0,8.38,1.38,849,1829,0.4641880809185347,619,1210,0.5115702479338843,230,619,0.3715670436187399,493,675,0.7303703703703703,1142,488,261,125,2421
Davidson,0,13,31,21.0,10.0,0.6774193548387096,11.0,5.0,0.6875,70.7,66.0,4.700000000000003,0.6,0.71,776,1778,0.4364454443194601,527,1073,0.4911463187325256,249,705,0.35319148936170214,391,574,0.681184668989547,1193,484,210,116,2192
