Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Arkansas-Pine Bluff,0,16,34,18.0,16.0,0.5294117647058824,14.0,4.0,0.7777777777777778,63.7,64.3,-0.5999999999999943,-8.29,-7.67,725,1778,0.4077615298087739,584,1312,0.4451219512195122,141,466,0.30257510729613735,575,861,0.667828106852497,1286,421,229,121,2166
Baylor,3,3,36,28.0,8.0,0.7777777777777778,11.0,5.0,0.6875,77.0,65.6,11.400000000000006,17.97,8.03,993,2040,0.48676470588235293,738,1378,0.5355587808417998,255,662,0.3851963746223565,530,731,0.7250341997264022,1408,508,237,242,2771
BYU,1,7,36,30.0,6.0,0.8333333333333334,13.0,3.0,0.8125,83.1,66.4,16.69999999999999,18.82,3.0,1025,2120,0.4834905660377358,733,1420,0.5161971830985915,292,700,0.41714285714285715,650,823,0.7897934386391251,1332,567,307,126,2992
Butler,3,5,38,33.0,5.0,0.868421052631579,18.0,0.0,1.0,68.7,59.4,9.300000000000004,14.37,5.08,845,1911,0.4421768707482993,585,1150,0.508695652173913,260,761,0.3416557161629435,661,896,0.7377232142857143,1241,464,267,86,2611
UCSB,0,15,30,20.0,10.0,0.6666666666666666,12.0,4.0,0.75,67.6,65.7,1.8999999999999915,-0.13,-1.09,674,1522,0.442838370565046,469,978,0.47955010224948874,205,544,0.37683823529411764,475,698,0.6805157593123209,984,414,202,92,2028
University of California,1,8,35,24.0,11.0,0.6857142857142857,13.0,5.0,0.7222222222222222,77.2,68.2,9.0,17.29,8.26,966,2028,0.47633136094674555,738,1419,0.5200845665961945,228,609,0.37438423645320196,543,717,0.7573221757322176,1241,500,198,86,2703
Clemson,0,7,32,21.0,11.0,0.65625,9.0,7.0,0.5625,73.4,64.5,8.900000000000006,15.71,7.9,851,1878,0.4531416400425985,635,1247,0.5092221331194867,216,631,0.34231378763866877,432,654,0.6605504587155964,1178,453,301,151,2350
Cornell,2,12,34,29.0,5.0,0.8529411764705882,13.0,1.0,0.9285714285714286,74.9,63.4,11.500000000000007,8.76,-0.91,913,1894,0.4820485744456177,587,1135,0.5171806167400881,326,759,0.4295125164690382,393,538,0.7304832713754646,1149,543,243,122,2596
Duke,5,1,40,35.0,5.0,0.875,13.0,3.0,0.8125,77.0,61.0,16.0,25.21,9.21,1049,2375,0.4416842105263158,748,1593,0.46955430006277465,301,782,0.38491048593350385,682,899,0.7586206896551724,1560,555,266,162,3081
ETSU,0,16,35,20.0,15.0,0.5714285714285714,13.0,7.0,0.65,69.3,67.5,1.7999999999999972,-0.83,-1.47,855,1978,0.4322548028311426,678,1403,0.4832501781895937,177,575,0.30782608695652175,537,815,0.6588957055214724,1277,382,293,112,2424
Florida State,0,9,32,22.0,10.0,0.6875,10.0,6.0,0.625,68.2,60.4,7.800000000000004,14.64,6.79,783,1734,0.4515570934256055,597,1177,0.5072217502124045,186,557,0.3339317773788151,431,669,0.6442451420029895,1211,446,267,200,2183
Florida,0,10,34,21.0,13.0,0.6176470588235294,9.0,7.0,0.5625,72.2,66.4,5.799999999999997,11.89,7.16,890,2006,0.4436689930209372,687,1358,0.5058910162002945,203,648,0.3132716049382716,472,671,0.7034277198211625,1265,479,243,94,2455
Georgetown,0,3,34,23.0,11.0,0.6764705882352942,10.0,8.0,0.5555555555555556,73.5,66.1,7.400000000000006,17.03,9.55,905,1815,0.4986225895316804,693,1267,0.5469613259668509,212,548,0.38686131386861317,478,672,0.7113095238095238,1132,524,237,161,2500
Georgia Tech,1,10,36,23.0,13.0,0.6388888888888888,7.0,9.0,0.4375,72.8,65.7,7.099999999999994,14.11,9.02,948,2064,0.45930232558139533,735,1477,0.4976303317535545,213,587,0.3628620102214651,512,779,0.6572528883183568,1430,508,288,190,2621
Gonzaga,1,8,34,27.0,7.0,0.7941176470588235,12.0,2.0,0.8571428571428571,76.9,67.4,9.5,12.11,3.83,912,1856,0.49137931034482757,730,1340,0.5447761194029851,182,516,0.35271317829457366,608,916,0.6637554585152838,1286,456,227,142,2614
Houston,0,13,35,19.0,16.0,0.5428571428571428,7.0,9.0,0.4375,78.6,75.0,3.5999999999999943,6.74,3.48,958,2282,0.4198071866783523,668,1468,0.4550408719346049,290,814,0.35626535626535627,545,768,0.7096354166666666,1185,435,329,103,2751
Kansas State,0,2,37,29.0,8.0,0.7837837837837838,11.0,5.0,0.6875,79.7,69.8,9.900000000000006,19.88,10.28,981,2182,0.44958753437213567,728,1479,0.49222447599729546,253,703,0.35988620199146515,734,1098,0.668488160291439,1437,541,274,187,2949
Kansas,1,1,36,33.0,3.0,0.9166666666666666,15.0,1.0,0.9375,81.6,64.2,17.39999999999999,24.68,8.25,1033,2111,0.4893415442918048,771,1463,0.5269993164730007,262,648,0.404320987654321,609,871,0.6991963260619977,1457,609,301,232,2937
Kentucky,3,1,38,35.0,3.0,0.9210526315789473,14.0,2.0,0.875,79.3,64.9,14.399999999999991,21.13,6.82,1066,2228,0.4784560143626571,835,1531,0.5453951665578054,231,697,0.3314203730272597,649,971,0.6683831101956745,1584,573,279,273,3012
Lehigh,0,16,33,22.0,11.0,0.6666666666666666,10.0,4.0,0.7142857142857143,75.1,70.6,4.5,-3.33,-7.79,842,1853,0.4543982730706962,622,1302,0.47772657450076805,220,551,0.3992740471869328,574,799,0.718397997496871,1201,495,203,85,2478
Louisville,0,9,33,20.0,13.0,0.6060606060606061,11.0,7.0,0.6111111111111112,75.9,69.8,6.1000000000000085,14.08,7.99,876,1960,0.44693877551020406,614,1183,0.5190194420963652,262,777,0.33719433719433717,491,700,0.7014285714285714,1217,511,258,135,2505
Marquette,0,6,34,22.0,12.0,0.6470588235294118,11.0,7.0,0.6111111111111112,73.1,64.6,8.5,15.17,8.23,861,1890,0.45555555555555555,587,1226,0.47879282218597063,274,664,0.4126506024096386,489,660,0.740909090909091,1071,516,269,72,2485
Maryland,1,4,33,24.0,9.0,0.7272727272727273,13.0,3.0,0.8125,79.7,68.3,11.400000000000006,17.75,7.95,966,2052,0.47076023391812866,771,1542,0.5,195,510,0.38235294117647056,502,689,0.7285921625544267,1270,545,256,154,2629
Michigan State,4,5,37,28.0,9.0,0.7567567567567568,14.0,4.0,0.7777777777777778,71.8,63.8,8.0,15.33,8.16,974,2068,0.4709864603481625,787,1525,0.5160655737704918,187,543,0.3443830570902394,523,764,0.6845549738219895,1426,606,242,123,2658
Minnesota,0,11,35,21.0,14.0,0.6,9.0,9.0,0.5,72.4,64.1,8.300000000000011,15.64,7.32,912,1949,0.46793227296049256,666,1332,0.5,246,617,0.3987034035656402,463,661,0.7004538577912254,1237,583,273,199,2533
Missouri,1,10,34,23.0,11.0,0.6764705882352942,10.0,6.0,0.625,77.3,66.2,11.099999999999994,17.39,6.36,926,2104,0.44011406844106465,668,1403,0.47612259444048466,258,701,0.3680456490727532,517,714,0.7240896358543417,1200,522,371,160,2627
Montana,0,14,32,22.0,10.0,0.6875,10.0,6.0,0.625,69.6,61.2,8.399999999999991,3.93,-2.35,791,1636,0.4834963325183374,581,1110,0.5234234234234234,210,526,0.39923954372623577,436,603,0.7230514096185738,1048,396,206,106,2228
Morgan State,0,15,37,27.0,10.0,0.7297297297297297,15.0,1.0,0.9375,76.0,70.4,5.599999999999994,-1.18,-6.15,960,2239,0.4287628405538187,755,1622,0.4654747225647349,205,617,0.33225283630470015,688,983,0.6998982706002035,1488,461,243,152,2813
Murray State,1,13,36,31.0,5.0,0.8611111111111112,17.0,1.0,0.9444444444444444,76.5,60.4,16.1,8.69,-3.89,978,1961,0.4987251402345742,752,1362,0.5521292217327459,226,599,0.3772954924874791,571,821,0.6954933008526187,1319,556,347,196,2753
UNLV,0,8,34,25.0,9.0,0.7352941176470589,11.0,5.0,0.6875,73.1,63.8,9.299999999999997,12.57,4.82,899,1950,0.46102564102564103,668,1255,0.5322709163346614,231,695,0.33237410071942447,456,637,0.7158555729984302,1149,551,266,117,2485
New Mexico State,0,12,34,22.0,12.0,0.6470588235294118,11.0,5.0,0.6875,78.3,77.6,0.7000000000000028,2.06,1.66,919,1997,0.4601902854281422,632,1223,0.5167620605069502,287,774,0.3708010335917313,537,767,0.7001303780964798,1212,484,203,111,2662
New Mexico,1,3,35,30.0,5.0,0.8571428571428571,14.0,2.0,0.875,75.9,67.2,8.700000000000003,12.49,3.84,887,2023,0.4384577360355907,614,1284,0.4781931464174455,273,739,0.36941813261163736,608,909,0.6688668866886689,1347,497,232,120,2655
North Texas,0,15,33,24.0,9.0,0.7272727272727273,13.0,5.0,0.7222222222222222,73.8,69.8,4.0,-2.49,-4.72,798,1748,0.45652173913043476,619,1210,0.5115702479338843,179,538,0.33271375464684017,662,921,0.7187839305103149,1220,394,144,94,2437
Northern Iowa,2,9,35,30.0,5.0,0.8571428571428571,15.0,3.0,0.8333333333333334,63.3,55.1,8.199999999999996,12.03,4.27,747,1741,0.42906375646180356,514,1082,0.47504621072088726,233,659,0.3535660091047041,489,645,0.7581395348837209,1130,367,198,70,2216
Notre Dame,0,6,35,23.0,12.0,0.6571428571428571,10.0,8.0,0.5555555555555556,75.3,68.4,6.8999999999999915,13.13,6.22,918,1953,0.4700460829493088,657,1280,0.51328125,261,673,0.38781575037147104,538,744,0.7231182795698925,1250,585,194,104,2635
Oakland,0,14,35,26.0,9.0,0.7428571428571429,17.0,1.0,0.9444444444444444,76.5,71.5,5.0,-0.64,-2.96,920,2053,0.44812469556746226,714,1413,0.505307855626327,206,640,0.321875,630,876,0.7191780821917808,1344,461,236,169,2676
Ohio State,2,2,37,29.0,8.0,0.7837837837837838,14.0,4.0,0.7777777777777778,74.1,61.5,12.599999999999994,19.48,7.37,983,1999,0.4917458729364682,707,1291,0.5476374903175832,276,708,0.3898305084745763,498,716,0.6955307262569832,1234,545,262,157,2740
Ohio,1,14,37,22.0,15.0,0.5945945945945946,7.0,9.0,0.4375,74.7,69.4,5.299999999999997,4.56,-0.03,925,2153,0.42963307013469576,647,1394,0.46413199426111906,278,759,0.3662714097496706,635,883,0.7191392978482446,1371,524,278,97,2763
Oklahoma State,0,7,33,22.0,11.0,0.6666666666666666,9.0,7.0,0.5625,73.8,68.0,5.799999999999997,12.34,6.97,839,1861,0.4508328855454057,565,1077,0.5246053853296193,274,784,0.3494897959183674,485,679,0.7142857142857143,1169,413,214,84,2437
Old Dominion,1,11,36,27.0,9.0,0.75,15.0,3.0,0.8333333333333334,67.1,57.5,9.599999999999994,11.39,1.78,922,2061,0.44735565259582727,756,1538,0.49154746423927176,166,523,0.3173996175908222,405,625,0.648,1394,554,282,105,2415
Pitt,1,3,34,25.0,9.0,0.7352941176470589,13.0,5.0,0.7222222222222222,68.7,61.8,6.900000000000006,14.3,7.38,809,1811,0.4467145223633352,628,1285,0.488715953307393,181,526,0.344106463878327,537,775,0.6929032258064516,1269,536,177,139,2336
Purdue,2,4,35,29.0,6.0,0.8285714285714286,14.0,4.0,0.7777777777777778,70.5,61.3,9.200000000000003,17.52,8.81,867,1957,0.4430250383239652,680,1369,0.4967129291453616,187,588,0.31802721088435376,546,755,0.7231788079470198,1170,493,248,162,2467
Richmond,0,7,35,26.0,9.0,0.7428571428571429,13.0,3.0,0.8125,69.3,62.7,6.599999999999994,10.03,3.43,868,1943,0.4467318579516212,618,1239,0.49878934624697335,250,704,0.35511363636363635,441,630,0.7,1139,442,289,158,2427
Robert Morris,0,15,35,23.0,12.0,0.6571428571428571,15.0,3.0,0.8333333333333334,68.5,65.9,2.5999999999999943,-3.71,-6.15,815,1868,0.43629550321199145,618,1322,0.46747352496217853,197,546,0.3608058608058608,572,859,0.6658905704307334,1227,433,267,80,2399
Saint Mary's (CA),2,10,34,28.0,6.0,0.8235294117647058,11.0,3.0,0.7857142857142857,78.5,66.4,12.099999999999994,13.38,2.2,944,1950,0.4841025641025641,660,1251,0.5275779376498801,284,699,0.4062947067238913,496,652,0.7607361963190185,1244,543,168,176,2668
Sam Houston State,0,14,33,25.0,8.0,0.7575757575757576,14.0,2.0,0.875,79.3,69.2,10.099999999999994,3.71,-3.37,909,1963,0.4630667345899134,622,1188,0.5235690235690236,287,775,0.37032258064516127,511,727,0.7028885832187071,1247,673,257,85,2616
San Diego State,0,11,34,25.0,9.0,0.7352941176470589,11.0,5.0,0.6875,70.3,61.8,8.5,11.34,4.21,875,1846,0.4739978331527627,696,1282,0.5429017160686428,179,564,0.3173758865248227,460,741,0.6207827260458839,1257,458,251,156,2389
