Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
American,0,15,33,21.0,12.0,0.6363636363636364,10.0,4.0,0.7142857142857143,64.8,62.1,2.6999999999999957,-1.87,-4.0,698,1586,0.4401008827238335,438,948,0.4620253164556962,260,638,0.40752351097178685,484,655,0.7389312977099237,1064,390,152,87,2140
Arizona,0,10,34,19.0,15.0,0.5588235294117647,8.0,10.0,0.4444444444444444,71.9,66.9,5.0,14.55,10.22,843,843,1.0,-922,622,-1.482315112540193,1765,221,7.986425339366516,566,536,1.0559701492537314,1052,1052,120,526,2443
Arkansas,1,9,35,23.0,12.0,0.6571428571428571,9.0,7.0,0.5625,74.1,68.3,5.799999999999997,12.48,6.73,936,2001,0.46776611694152925,729,1394,0.5229555236728838,207,607,0.34102141680395387,514,758,0.6781002638522428,1274,505,241,182,2593
Austin Peay,0,15,35,24.0,11.0,0.6857142857142857,16.0,4.0,0.8,74.0,70.8,3.200000000000003,-2.21,-5.24,855,1917,0.4460093896713615,582,1202,0.4841930116472546,273,715,0.38181818181818183,607,850,0.7141176470588235,1107,501,335,75,2590
Baylor,0,11,32,21.0,11.0,0.65625,9.0,7.0,0.5625,81.3,74.9,6.3999999999999915,11.46,5.75,899,1979,0.45426983324911574,624,1252,0.4984025559105431,275,727,0.3782668500687758,528,711,0.7426160337552743,1196,388,237,138,2601
Belmont,0,15,34,25.0,9.0,0.7352941176470589,14.0,2.0,0.875,79.8,73.4,6.3999999999999915,-0.12,-3.44,938,2078,0.45139557266602504,581,1099,0.5286624203821656,357,979,0.36465781409601633,481,689,0.6981132075471698,1248,587,290,65,2714
Boise State,0,14,34,25.0,9.0,0.7352941176470589,12.0,4.0,0.75,81.4,75.5,5.900000000000006,1.6,-2.07,994,1956,0.5081799591002045,723,1266,0.5710900473933649,271,690,0.3927536231884058,508,768,0.6614583333333334,1218,605,215,80,2767
BYU,0,8,35,27.0,8.0,0.7714285714285715,14.0,2.0,0.875,73.7,63.2,10.5,11.82,1.33,906,1970,0.45989847715736043,621,1206,0.5149253731343284,285,764,0.3730366492146597,483,737,0.655359565807327,1351,587,207,135,2580
Butler,1,7,34,30.0,4.0,0.8823529411764706,16.0,2.0,0.8888888888888888,68.8,58.4,10.399999999999999,13.0,2.64,776,1729,0.44881434355118566,457,890,0.5134831460674157,319,839,0.3802145411203814,468,635,0.7370078740157481,1016,445,221,83,2339
Cal State Fullerton,0,14,33,24.0,9.0,0.7272727272727273,12.0,4.0,0.75,81.8,72.7,9.099999999999994,5.64,-3.06,974,2060,0.4728155339805825,689,1319,0.5223654283548143,285,741,0.38461538461538464,467,665,0.7022556390977444,1182,505,296,51,2700
Clemson,0,5,34,24.0,10.0,0.7058823529411765,10.0,6.0,0.625,79.2,69.8,9.400000000000006,18.05,9.08,1000,2191,0.45641259698767683,729,1463,0.49829118250170884,271,728,0.37225274725274726,422,677,0.6233382570162481,1305,535,334,185,2693
UConn,0,4,33,24.0,9.0,0.7272727272727273,13.0,5.0,0.7222222222222222,77.5,68.7,8.799999999999997,15.54,6.75,868,1880,0.46170212765957447,700,1415,0.49469964664310956,168,465,0.36129032258064514,652,905,0.7204419889502762,1383,488,189,285,2556
Cornell,0,14,28,22.0,6.0,0.7857142857142857,14.0,0.0,1.0,76.3,68.5,7.799999999999997,0.76,-4.74,758,1562,0.4852752880921895,530,1004,0.5278884462151394,228,558,0.40860215053763443,392,515,0.7611650485436893,939,427,170,88,2136
Davidson,3,10,36,29.0,7.0,0.8055555555555556,20.0,0.0,1.0,77.9,63.2,14.700000000000003,13.93,1.66,1032,2199,0.4693042291950887,704,1298,0.5423728813559322,328,901,0.36403995560488345,411,573,0.7172774869109948,1302,615,290,114,2803
Drake,0,5,33,28.0,5.0,0.8484848484848485,15.0,3.0,0.8333333333333334,73.9,62.1,11.800000000000004,14.08,4.15,816,1829,0.4461454346637507,506,989,0.5116279069767442,310,840,0.36904761904761907,498,656,0.7591463414634146,1128,485,252,85,2440
Duke,1,2,34,28.0,6.0,0.8235294117647058,13.0,3.0,0.8125,83.2,69.4,13.799999999999997,21.52,9.28,964,2084,0.46257197696737046,656,1268,0.5173501577287066,308,816,0.37745098039215685,594,852,0.6971830985915493,1255,497,295,133,2830
George Mason,0,12,34,23.0,11.0,0.6764705882352942,12.0,6.0,0.6666666666666666,69.3,62.5,6.799999999999997,6.07,-0.75,827,1778,0.4651293588301462,622,1187,0.5240101095197978,205,591,0.34686971235194586,497,707,0.7029702970297029,1170,445,189,108,2356
Georgetown,1,2,34,28.0,6.0,0.8235294117647058,15.0,3.0,0.8333333333333334,69.6,58.1,11.499999999999993,18.73,7.23,855,1744,0.49025229357798167,586,1043,0.5618408437200384,269,701,0.38373751783166904,388,593,0.654300168634064,1190,527,236,163,2367
Georgia,0,14,34,17.0,17.0,0.5,4.0,12.0,0.25,68.1,67.4,0.6999999999999886,7.24,7.03,840,1956,0.4294478527607362,636,1337,0.47569184741959614,204,619,0.3295638126009693,430,633,0.6793048973143759,1295,396,228,116,2314
Gonzaga,0,7,33,25.0,8.0,0.7575757575757576,13.0,1.0,0.9285714285714286,76.5,63.8,12.700000000000003,14.81,2.15,892,1838,0.485310119695321,672,1252,0.536741214057508,220,586,0.37542662116040953,520,730,0.7123287671232876,1235,479,253,153,2524
Indiana,0,8,33,25.0,8.0,0.7575757575757576,14.0,4.0,0.7777777777777778,75.0,65.3,9.700000000000003,15.78,6.08,839,1814,0.4625137816979052,618,1181,0.5232853513971211,221,633,0.34913112164297,577,760,0.7592105263157894,1247,436,233,125,2476
Kansas State,1,11,33,21.0,12.0,0.6363636363636364,10.0,6.0,0.625,78.0,68.9,9.099999999999994,15.79,7.79,916,2067,0.4431543299467828,706,1405,0.502491103202847,210,662,0.31722054380664655,532,774,0.6873385012919897,1362,511,249,113,2574
Kansas,5,1,40,37.0,3.0,0.925,13.0,3.0,0.8125,80.5,61.5,19.0,26.89,8.2,1176,2314,0.5082108902333622,905,1631,0.5548743102391172,271,683,0.3967789165446559,598,852,0.7018779342723005,1547,721,356,235,3221
Kent State,0,9,35,28.0,7.0,0.8,13.0,3.0,0.8125,68.9,61.9,7.000000000000007,7.47,0.41,839,1809,0.46379215035931454,637,1258,0.5063593004769475,202,551,0.3666061705989111,532,745,0.7140939597315437,1166,485,300,134,2412
Kentucky,0,11,31,18.0,13.0,0.5806451612903226,12.0,4.0,0.75,68.5,65.6,2.9000000000000057,9.19,7.09,735,1566,0.46934865900383144,553,1073,0.5153774464119292,182,493,0.3691683569979716,472,644,0.7329192546583851,1038,395,206,149,2124
Louisville,3,3,36,27.0,9.0,0.75,14.0,4.0,0.7777777777777778,72.5,61.5,11.0,19.0,8.0,932,2011,0.46345101939333666,660,1233,0.5352798053527981,272,778,0.3496143958868895,475,734,0.6471389645776566,1338,542,289,178,2611
Marquette,1,6,35,25.0,10.0,0.7142857142857143,11.0,7.0,0.6111111111111112,75.9,64.8,11.100000000000009,18.62,8.09,929,2082,0.4462055715658021,683,1385,0.49314079422382673,246,697,0.35294117647058826,554,785,0.7057324840764331,1287,515,325,132,2658
UMBC,0,15,33,24.0,9.0,0.7272727272727273,13.0,3.0,0.8125,74.2,68.4,5.799999999999997,0.06,-4.53,869,1928,0.4507261410788382,621,1291,0.4810224632068164,248,637,0.3893249607535322,464,640,0.725,1126,500,209,114,2450
Memphis,3,1,40,38.0,2.0,0.95,16.0,0.0,1.0,79.9,61.9,18.000000000000007,23.73,5.76,1143,2454,0.46577017114914426,841,1589,0.5292636878539962,302,865,0.3491329479768786,608,991,0.6135216952573158,1620,637,337,244,3196
Miami (FL),1,7,34,23.0,11.0,0.6764705882352942,8.0,8.0,0.5,74.8,67.9,6.8999999999999915,12.38,7.13,867,1985,0.4367758186397985,631,1372,0.45991253644314867,236,613,0.38499184339314846,572,766,0.7467362924281984,1293,451,202,157,2542
Michigan State,2,5,36,27.0,9.0,0.75,12.0,6.0,0.6666666666666666,71.2,62.6,8.600000000000001,16.32,7.68,949,1976,0.48026315789473684,770,1493,0.5157401205626256,179,483,0.37060041407867494,487,661,0.7367624810892587,1330,631,208,152,2564
Mississippi State,1,8,34,23.0,11.0,0.6764705882352942,12.0,4.0,0.75,73.2,65.5,7.700000000000003,13.42,5.74,885,1922,0.46045785639958375,650,1219,0.5332239540607056,235,703,0.33428165007112376,484,749,0.6461949265687583,1385,448,199,267,2489
Mississippi Valley State,0,16,33,17.0,16.0,0.5151515151515151,12.0,6.0,0.6666666666666666,61.7,65.9,-4.200000000000003,-15.28,-9.5,698,1755,0.3977207977207977,551,1319,0.4177407126611069,147,436,0.33715596330275227,493,727,0.6781292984869326,1107,379,206,90,2036
Mount St. Mary's,0,16,34,19.0,15.0,0.5588235294117647,11.0,7.0,0.6111111111111112,69.2,67.7,1.5,-3.59,-5.12,822,1856,0.44288793103448276,618,1291,0.4786986831913246,204,565,0.36106194690265486,505,718,0.7033426183844012,1152,437,246,121,2353
UNLV,1,8,35,27.0,8.0,0.7714285714285715,12.0,4.0,0.75,69.7,62.3,7.400000000000006,10.23,4.02,844,1999,0.4222111055527764,580,1203,0.48212801330008315,264,796,0.3316582914572864,488,653,0.7473200612557427,1209,510,278,106,2440
UNC,4,1,39,36.0,3.0,0.9230769230769231,14.0,2.0,0.875,88.6,72.5,16.099999999999994,24.17,8.12,1250,2564,0.4875195007800312,1034,1984,0.5211693548387096,216,580,0.3724137931034483,738,975,0.7569230769230769,1695,656,318,174,3454
Notre Dame,1,5,33,25.0,8.0,0.7575757575757576,14.0,4.0,0.7777777777777778,79.0,69.6,9.400000000000006,16.15,7.03,914,2015,0.45359801488833745,640,1338,0.47832585949177875,274,677,0.40472673559822747,506,686,0.7376093294460642,1371,608,205,125,2608
Oklahoma,1,6,35,23.0,12.0,0.6571428571428571,9.0,7.0,0.5625,67.9,63.8,4.1000000000000085,11.97,7.85,831,1880,0.4420212765957447,611,1248,0.4895833333333333,220,632,0.34810126582278483,496,728,0.6813186813186813,1240,436,226,135,2378
Oral Roberts,0,13,33,24.0,9.0,0.7272727272727273,16.0,2.0,0.8888888888888888,69.2,62.0,7.200000000000003,5.71,-0.26,785,1783,0.4402692091979809,562,1179,0.4766751484308736,223,604,0.36920529801324503,489,730,0.6698630136986301,1182,445,206,132,2282
Oregon,0,9,32,18.0,14.0,0.5625,9.0,9.0,0.5,76.6,72.5,4.099999999999994,11.68,7.65,858,1788,0.4798657718120805,579,1077,0.5376044568245125,279,711,0.3924050632911392,455,656,0.6935975609756098,1093,475,148,81,2450
Pitt,1,4,37,27.0,10.0,0.7297297297297297,10.0,8.0,0.5555555555555556,73.8,65.1,8.700000000000003,15.62,7.84,997,2185,0.4562929061784897,772,1514,0.5099075297225891,225,671,0.3353204172876304,512,768,0.6666666666666666,1399,578,251,125,2731
Portland State,0,16,33,23.0,10.0,0.696969696969697,14.0,2.0,0.875,73.9,68.0,5.900000000000006,1.72,-3.01,846,1822,0.4643249176728869,552,1073,0.5144454799627214,294,749,0.3925233644859813,452,668,0.6766467065868264,1129,521,231,108,2438
Purdue,1,6,34,25.0,9.0,0.7352941176470589,15.0,3.0,0.8333333333333334,69.6,62.4,7.199999999999996,13.1,5.9,806,1900,0.4242105263157895,553,1221,0.45290745290745293,253,679,0.37260677466863035,502,705,0.7120567375886525,1124,451,286,147,2367
St. Joseph's,0,11,34,21.0,13.0,0.6176470588235294,9.0,7.0,0.5625,73.1,67.4,5.699999999999989,9.63,3.98,859,1800,0.4772222222222222,612,1160,0.5275862068965518,247,640,0.3859375,519,715,0.7258741258741259,1086,502,242,154,2484
Saint Mary's (CA),0,10,32,25.0,7.0,0.78125,12.0,2.0,0.8571428571428571,75.7,63.7,12.0,11.39,0.36,845,1843,0.4584915897992404,591,1137,0.5197889182058048,254,706,0.3597733711048159,477,722,0.6606648199445984,1215,468,230,169,2421
San Diego,1,13,36,22.0,14.0,0.6111111111111112,11.0,3.0,0.7857142857142857,65.7,63.8,1.9000000000000057,3.39,1.45,868,1925,0.4509090909090909,691,1405,0.4918149466192171,177,520,0.3403846153846154,452,673,0.6716196136701337,1206,476,250,113,2365
Siena,1,13,34,23.0,11.0,0.6764705882352942,13.0,5.0,0.7222222222222222,76.9,71.2,5.700000000000003,4.06,-1.62,928,2058,0.4509232264334305,689,1432,0.48114525139664804,239,626,0.3817891373801917,518,752,0.6888297872340425,1148,489,320,119,2613
South Alabama,0,10,33,26.0,7.0,0.7878787878787878,16.0,2.0,0.8888888888888888,75.1,65.4,9.699999999999989,7.76,-1.21,840,1774,0.47350620067643745,620,1167,0.5312767780634104,220,607,0.3624382207578254,578,821,0.7040194884287454,1221,509,201,100,2478
USC,0,6,33,21.0,12.0,0.6363636363636364,11.0,7.0,0.6111111111111112,69.0,63.7,5.299999999999997,13.89,8.59,820,1710,0.47953216374269003,636,1234,0.5153970826580226,184,476,0.3865546218487395,453,661,0.6853252647503782,1106,409,188,145,2277
Stanford,2,3,36,28.0,8.0,0.7777777777777778,13.0,5.0,0.7222222222222222,70.9,61.6,9.300000000000004,16.31,6.95,901,2008,0.4487051792828685,702,1464,0.47950819672131145,199,544,0.36580882352941174,552,795,0.6943396226415094,1409,525,158,187,2553
Temple,0,12,34,21.0,13.0,0.6176470588235294,11.0,5.0,0.6875,72.3,68.7,3.5999999999999943,8.16,4.57,857,1829,0.46856205576817933,591,1108,0.5333935018050542,266,721,0.36893203883495146,477,645,0.7395348837209302,1108,510,214,148,2457
Tennessee,2,2,36,31.0,5.0,0.8611111111111112,14.0,2.0,0.875,81.8,70.0,11.799999999999997,18.41,7.84,1035,2258,0.45837023914969,723,1383,0.5227765726681128,312,875,0.3565714285714286,564,856,0.6588785046728972,1358,637,334,119,2946
Texas A&M,1,9,36,25.0,11.0,0.6944444444444444,8.0,8.0,0.5,70.8,61.6,9.199999999999996,16.2,7.46,909,1945,0.4673521850899743,698,1357,0.5143699336772292,211,588,0.358843537414966,519,820,0.6329268292682927,1402,486,158,145,2548
Texas-Arlington,0,16,33,21.0,12.0,0.6363636363636364,7.0,9.0,0.4375,73.4,68.9,4.5,-2.87,-4.62,868,1820,0.47692307692307695,667,1243,0.5366049879324215,201,577,0.3483535528596187,485,741,0.6545209176788124,1249,467,218,87,2422
Texas,0,2,38,31.0,7.0,0.8157894736842105,13.0,3.0,0.8125,75.5,64.9,10.599999999999994,18.13,8.59,1032,2285,0.45164113785557986,723,1485,0.4868686868686869,309,800,0.38625,495,725,0.6827586206896552,1448,501,228,198,2868
UCLA,4,1,39,35.0,4.0,0.8974358974358975,16.0,2.0,0.8888888888888888,73.5,59.0,14.5,21.71,7.71,1029,2164,0.4755083179297597,815,1552,0.5251288659793815,214,612,0.34967320261437906,595,813,0.7318573185731857,1432,562,285,167,2867
Vanderbilt,0,4,34,26.0,8.0,0.7647058823529411,10.0,6.0,0.625,80.0,74.6,5.400000000000006,10.96,5.54,928,1995,0.46516290726817044,625,1235,0.5060728744939271,303,760,0.3986842105263158,562,765,0.734640522875817,1197,606,207,118,2721
Villanova,2,12,35,22.0,13.0,0.6285714285714286,9.0,9.0,0.5,72.8,69.5,3.299999999999997,11.0,7.69,868,2013,0.431197218082464,626,1310,0.4778625954198473,242,703,0.3442389758179232,569,783,0.7266922094508301,1257,466,283,98,2547
Washington State,2,4,35,26.0,9.0,0.7428571428571429,11.0,7.0,0.6111111111111112,66.4,56.4,10.000000000000007,16.35,6.35,815,1716,0.47494172494172493,601,1135,0.5295154185022026,214,581,0.3683304647160069,481,661,0.7276853252647504,1044,482,218,102,2325
West Virginia,2,7,37,26.0,11.0,0.7027027027027027,11.0,7.0,0.6111111111111112,74.8,63.6,11.199999999999996,17.97,7.16,983,2169,0.4532042415859843,719,1426,0.5042075736325385,264,743,0.3553162853297443,539,782,0.6892583120204604,1332,571,257,188,2769
Western Kentucky,2,12,36,29.0,7.0,0.8055555555555556,16.0,2.0,0.8888888888888888,77.4,66.8,10.600000000000009,9.34,0.24,993,2106,0.47150997150997154,723,1419,0.5095137420718816,270,687,0.3930131004366812,529,755,0.7006622516556291,1262,458,288,135,2785
Winthrop,0,13,34,22.0,12.0,0.6470588235294118,10.0,4.0,0.7142857142857143,64.9,58.5,6.400000000000006,3.61,-1.45,795,1814,0.438257993384785,578,1228,0.47068403908794787,217,586,0.3703071672354949,398,673,0.5913818722139673,1195,435,284,124,2205
Wisconsin,2,3,36,31.0,5.0,0.8611111111111112,16.0,2.0,0.8888888888888888,67.2,54.4,12.800000000000004,19.59,6.73,841,1872,0.44925213675213677,629,1276,0.49294670846394983,212,596,0.35570469798657717,527,747,0.7054886211512718,1292,455,221,120,2421
Xavier,3,3,37,30.0,7.0,0.8108108108108109,14.0,2.0,0.875,75.1,63.4,11.699999999999996,17.17,5.46,936,1973,0.4744044602128738,654,1252,0.5223642172523961,282,721,0.391123439667129,626,836,0.7488038277511961,1322,564,206,125,2780
