Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Albany (NY),0,16,34,19.0,15.0,0.5588235294117647,9.0,7.0,0.5625,65.9,63.9,2.000000000000007,-3.31,-5.22,765,1733,0.44143104443162146,602,1280,0.4703125,163,453,0.3598233995584989,546,728,0.75,1175,376,184,101,2239
American,0,15,33,20.0,13.0,0.6060606060606061,13.0,5.0,0.7222222222222222,63.1,59.1,4.0,0.69,-3.25,748,1527,0.48984937786509497,541,981,0.5514780835881753,207,546,0.3791208791208791,378,535,0.7065420560747664,986,492,198,110,2081
Arizona State,0,10,33,21.0,12.0,0.6363636363636364,10.0,8.0,0.5555555555555556,75.3,69.4,5.8999999999999915,13.32,7.41,836,1852,0.4514038876889849,568,1164,0.4879725085910653,268,688,0.38953488372093026,546,787,0.6937738246505718,1172,471,167,182,2486
Arizona,3,1,38,33.0,5.0,0.868421052631579,15.0,3.0,0.8333333333333334,72.9,58.6,14.300000000000004,23.36,9.04,996,2123,0.4691474328780028,792,1562,0.5070422535211268,204,561,0.36363636363636365,573,870,0.6586206896551724,1449,574,223,173,2769
Baylor,2,6,38,26.0,12.0,0.6842105263157895,9.0,9.0,0.5,74.8,67.8,7.0,15.8,10.11,959,2108,0.45493358633776093,679,1383,0.4909616775126536,280,725,0.38620689655172413,645,949,0.6796628029504742,1456,563,197,202,2843
BYU,0,10,35,23.0,12.0,0.6571428571428571,13.0,5.0,0.7222222222222222,83.7,77.3,6.400000000000006,11.63,5.72,1012,2186,0.46294602012808783,835,1687,0.4949614700652045,177,499,0.35470941883767537,730,1055,0.6919431279620853,1432,544,251,103,2931
Cal Poly,0,16,34,14.0,20.0,0.4117647058823529,6.0,10.0,0.375,63.0,63.6,-0.6000000000000014,-1.34,1.69,754,1850,0.40756756756756757,536,1196,0.44816053511705684,218,654,0.3333333333333333,415,603,0.6882255389718076,1096,394,198,93,2141
Cincinnati,0,5,34,27.0,7.0,0.7941176470588235,15.0,3.0,0.8333333333333334,68.4,58.4,10.000000000000007,15.26,5.28,805,1893,0.4252509244585314,609,1308,0.46559633027522934,196,585,0.335042735042735,519,733,0.7080491132332879,1224,425,268,188,2325
Coastal Carolina,0,16,34,21.0,13.0,0.6176470588235294,11.0,5.0,0.6875,72.3,68.4,3.8999999999999915,-5.21,-6.31,861,1969,0.4372778059928898,649,1341,0.48396718866517524,212,628,0.3375796178343949,524,758,0.6912928759894459,1336,362,216,96,2458
Colorado,0,8,35,23.0,12.0,0.6571428571428571,10.0,8.0,0.5555555555555556,70.2,68.2,2.0,10.8,8.8,814,1871,0.4350614644575094,633,1302,0.4861751152073733,181,569,0.3181019332161687,648,903,0.717607973421927,1305,397,207,115,2457
UConn,5,7,40,32.0,8.0,0.8,12.0,6.0,0.6666666666666666,71.8,63.2,8.599999999999994,17.23,8.62,971,2163,0.44891354600092465,684,1422,0.4810126582278481,287,741,0.3873144399460189,644,829,0.7768395657418576,1389,488,281,230,2873
Creighton,1,3,35,27.0,8.0,0.7714285714285715,14.0,4.0,0.7777777777777778,78.7,67.9,10.799999999999997,18.03,7.17,957,1927,0.49662688116242865,601,1068,0.5627340823970037,356,859,0.41443538998835855,486,654,0.7431192660550459,1192,614,139,49,2756
