Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama-Birmingham,1,14,36,20.0,16.0,0.5555555555555556,12.0,6.0,0.6666666666666666,68.8,68.1,0.7000000000000028,1.94,1.62,873,2042,0.4275220372184133,671,1435,0.467595818815331,202,607,0.33278418451400327,528,715,0.7384615384615385,1322,516,237,184,2476
Albany (NY),0,14,33,24.0,9.0,0.7272727272727273,15.0,1.0,0.9375,65.3,60.5,4.799999999999997,-0.34,-5.18,729,1666,0.4375750300120048,524,1094,0.4789762340036563,205,572,0.3583916083916084,493,650,0.7584615384615384,1111,349,187,53,2156
Arizona,0,2,38,34.0,4.0,0.8947368421052632,16.0,2.0,0.8888888888888888,76.6,59.7,16.89999999999999,24.33,7.41,1009,2068,0.4879110251450677,816,1532,0.5326370757180157,193,536,0.36007462686567165,700,974,0.7186858316221766,1399,528,275,131,2911
Arkansas,1,5,36,27.0,9.0,0.75,13.0,5.0,0.7222222222222222,77.4,70.1,7.300000000000011,14.06,6.79,978,2196,0.4453551912568306,740,1515,0.4884488448844885,238,681,0.34948604992657856,593,819,0.724053724053724,1290,579,277,168,2787
Baylor,0,3,34,24.0,10.0,0.7058823529411765,11.0,7.0,0.6111111111111112,69.1,60.2,8.899999999999991,17.84,9.33,813,1874,0.43383137673425826,577,1248,0.4623397435897436,236,626,0.3769968051118211,487,723,0.673582295988935,1333,497,263,132,2349
Belmont,0,15,33,22.0,11.0,0.6666666666666666,11.0,5.0,0.6875,74.2,70.6,3.6000000000000085,0.35,-2.77,858,1803,0.47587354409317806,529,937,0.5645677694770544,329,866,0.37990762124711314,405,585,0.6923076923076923,1093,504,209,66,2450
Buffalo,0,12,33,23.0,10.0,0.696969696969697,12.0,6.0,0.6666666666666666,74.6,68.3,6.299999999999997,7.93,1.6,837,1922,0.43548387096774194,638,1339,0.4764749813293503,199,583,0.34133790737564323,589,819,0.7191697191697192,1260,433,248,132,2462
Butler,1,6,34,23.0,11.0,0.6764705882352942,12.0,6.0,0.6666666666666666,69.0,61.0,8.0,16.64,8.62,814,1882,0.43251859723698194,622,1342,0.46348733233979134,192,540,0.35555555555555557,526,767,0.6857887874837028,1239,387,217,103,2346
UC-Irvine,0,13,34,21.0,13.0,0.6176470588235294,11.0,5.0,0.6875,67.5,62.1,5.399999999999999,3.63,0.45,854,1851,0.4613722312263641,637,1293,0.49265274555297756,217,558,0.3888888888888889,370,541,0.6839186691312384,1198,480,194,168,2295
Cincinnati,1,8,34,23.0,11.0,0.6764705882352942,13.0,5.0,0.7222222222222222,62.1,55.8,6.300000000000004,10.72,4.39,761,1705,0.4463343108504399,594,1198,0.4958263772954925,167,507,0.32938856015779094,424,633,0.669826224328594,1178,394,222,185,2113
