Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Akron,0,12,33,26.0,7.0,0.7878787878787878,14.0,2.0,0.875,71.8,62.8,9.0,8.11,0.17,852,1874,0.45464247598719315,623,1185,0.5257383966244725,229,689,0.33236574746008707,436,678,0.6430678466076696,1243,485,231,189,2369
Albany (NY),0,15,35,24.0,11.0,0.6857142857142857,9.0,7.0,0.5625,64.3,60.7,3.5999999999999943,-0.87,-4.53,761,1748,0.4353546910755149,548,1173,0.46717817561807334,213,575,0.37043478260869567,516,700,0.7371428571428571,1168,394,192,71,2251
Arizona,2,6,35,27.0,8.0,0.7714285714285715,12.0,6.0,0.6666666666666666,73.4,63.6,9.800000000000004,17.3,7.47,880,1933,0.45525090532850493,611,1208,0.5057947019867549,269,725,0.37103448275862067,541,722,0.7493074792243767,1276,476,234,134,2570
Belmont,0,11,33,26.0,7.0,0.7878787878787878,14.0,2.0,0.875,76.8,64.5,12.299999999999997,10.37,-0.96,906,1844,0.4913232104121475,627,1115,0.5623318385650224,279,729,0.38271604938271603,442,604,0.7317880794701986,1049,516,322,88,2533
Bucknell,0,11,34,28.0,6.0,0.8235294117647058,12.0,2.0,0.8571428571428571,67.0,57.8,9.200000000000003,6.95,-1.96,818,1807,0.4526840066408412,661,1369,0.4828341855368882,157,438,0.3584474885844749,484,652,0.7423312883435583,1230,455,118,139,2277
Butler,1,6,36,27.0,9.0,0.75,11.0,5.0,0.6875,69.3,63.9,5.399999999999999,10.99,6.08,869,1931,0.4500258933195236,630,1243,0.5068382944489139,239,688,0.34738372093023256,518,744,0.696236559139785,1320,465,206,94,2495
University of California,1,12,33,21.0,12.0,0.6363636363636364,12.0,6.0,0.6666666666666666,67.2,64.3,2.9000000000000057,10.64,7.77,833,1875,0.44426666666666664,699,1432,0.48812849162011174,134,443,0.30248306997742663,418,585,0.7145299145299145,1228,468,192,154,2218
Cincinnati,0,10,34,22.0,12.0,0.6470588235294118,9.0,9.0,0.5,66.5,59.0,7.5,14.46,6.93,791,1963,0.40295466123280693,561,1234,0.4546191247974068,230,729,0.31550068587105623,450,696,0.646551724137931,1351,415,240,208,2262
Colorado State,1,8,35,26.0,9.0,0.7428571428571429,11.0,5.0,0.6875,72.9,63.7,9.200000000000003,13.65,5.89,881,1961,0.449260581336053,701,1429,0.4905528341497551,180,532,0.3383458646616541,611,855,0.7146198830409357,1400,445,162,74,2553
Colorado,0,10,33,21.0,12.0,0.6363636363636364,10.0,8.0,0.5555555555555556,67.6,63.6,3.999999999999993,11.95,7.95,775,1788,0.43344519015659955,597,1271,0.4697088906372935,178,517,0.344294003868472,502,732,0.6857923497267759,1227,328,230,105,2230
Creighton,1,7,36,28.0,8.0,0.7777777777777778,13.0,5.0,0.7222222222222222,74.4,63.2,11.200000000000003,16.44,5.16,942,1882,0.5005313496280552,635,1140,0.5570175438596491,307,742,0.4137466307277628,489,644,0.7593167701863354,1263,609,174,92,2680
