Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama,0,9,33,21.0,12.0,0.6363636363636364,9.0,7.0,0.5625,64.7,58.1,6.600000000000001,13.76,7.18,778,1722,0.4518002322880372,642,1252,0.512779552715655,136,470,0.28936170212765955,443,623,0.7110754414125201,1158,402,239,137,2135
Baylor,3,3,38,30.0,8.0,0.7894736842105263,12.0,6.0,0.6666666666666666,74.7,65.3,9.400000000000006,16.54,8.03,1004,2148,0.46741154562383613,745,1472,0.5061141304347826,259,676,0.3831360946745562,572,759,0.7536231884057971,1385,570,286,178,2839
Belmont,0,14,35,27.0,8.0,0.7714285714285715,16.0,2.0,0.8888888888888888,80.9,67.5,13.400000000000006,11.81,-1.22,975,2026,0.48124383020730505,666,1209,0.5508684863523573,309,817,0.37821297429620565,572,779,0.7342747111681643,1252,606,255,78,2831
BYU,0,14,35,26.0,9.0,0.7428571428571429,12.0,4.0,0.75,77.9,67.4,10.5,11.25,1.55,977,2099,0.46545974273463553,744,1420,0.523943661971831,233,679,0.3431516936671576,540,771,0.7003891050583657,1347,599,296,154,2727
Cincinnati,2,6,37,26.0,11.0,0.7027027027027027,12.0,6.0,0.6666666666666666,68.2,61.5,6.700000000000003,12.93,6.28,924,2194,0.4211485870556062,664,1431,0.4640111809923131,260,763,0.34076015727391873,414,643,0.6438569206842923,1333,479,298,170,2522
Colorado State,0,11,32,20.0,12.0,0.625,8.0,6.0,0.5714285714285714,70.1,68.0,2.0999999999999943,6.58,5.23,764,1621,0.4713140037014189,575,1148,0.5008710801393729,189,473,0.39957716701902746,526,685,0.7678832116788321,1011,389,172,60,2243
Colorado,1,11,36,24.0,12.0,0.6666666666666666,11.0,7.0,0.6111111111111112,67.5,63.0,4.5,7.91,5.73,835,1874,0.4455709711846318,636,1302,0.48847926267281105,199,572,0.3479020979020979,560,810,0.691358024691358,1289,422,210,117,2429
UConn,0,9,34,20.0,14.0,0.5882352941176471,8.0,10.0,0.4444444444444444,68.7,64.5,4.200000000000003,12.27,8.07,858,1900,0.4515789473684211,673,1343,0.5011169024571854,185,557,0.33213644524236985,435,657,0.6621004566210046,1273,457,199,233,2336
Creighton,1,8,35,29.0,6.0,0.8285714285714286,14.0,4.0,0.7777777777777778,79.2,69.7,9.5,12.92,3.41,975,1935,0.5038759689922481,688,1258,0.5468998410174881,287,677,0.4239290989660266,535,737,0.7259158751696065,1259,616,169,82,2772
Davidson,0,13,33,25.0,8.0,0.7575757575757576,16.0,2.0,0.8888888888888888,77.9,67.8,10.100000000000009,7.25,-1.68,879,1969,0.4464195022854241,624,1209,0.5161290322580645,255,760,0.3355263157894737,558,731,0.7633378932968536,1280,455,184,116,2571
Detroit,0,15,36,22.0,14.0,0.6111111111111112,11.0,7.0,0.6111111111111112,72.1,67.6,4.5,2.4,-0.01,903,2008,0.4497011952191235,738,1455,0.5072164948453608,165,553,0.298372513562387,626,857,0.7304550758459744,1232,463,272,165,2597
Duke,0,2,34,27.0,7.0,0.7941176470588235,13.0,3.0,0.8125,77.3,68.6,8.700000000000003,17.05,8.4,874,1915,0.45639686684073105,600,1176,0.5102040816326531,274,739,0.37077131258457374,606,864,0.7013888888888888,1249,423,210,136,2628
Florida State,1,3,35,25.0,10.0,0.7142857142857143,12.0,4.0,0.75,69.8,62.9,6.899999999999999,14.53,7.62,877,1923,0.45605824232969316,661,1312,0.5038109756097561,216,611,0.353518821603928,473,669,0.7070254110612855,1273,427,265,213,2443
Florida,3,7,37,26.0,11.0,0.7027027027027027,10.0,6.0,0.625,75.9,65.0,10.900000000000006,18.25,7.33,976,2106,0.4634377967711301,619,1167,0.5304198800342759,357,939,0.3801916932907348,499,700,0.7128571428571429,1321,551,233,124,2808
