Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Albany (NY),0,13,33,23.0,10.0,0.696969696969697,13.0,3.0,0.8125,67.9,65.1,2.8000000000000114,-1.6,-4.75,798,1762,0.452894438138479,571,1155,0.49437229437229435,227,607,0.37397034596375617,418,579,0.7219343696027634,1112,436,191,82,2241
Arizona,0,8,31,20.0,11.0,0.6451612903225806,11.0,7.0,0.6111111111111112,78.0,72.5,5.5,16.24,10.76,846,1770,0.47796610169491527,674,1265,0.532806324110672,172,505,0.3405940594059406,553,737,0.7503392130257802,1158,511,189,103,2417
Arkansas,0,12,35,21.0,14.0,0.6,7.0,9.0,0.4375,71.1,66.0,5.099999999999994,13.77,8.74,881,1910,0.4612565445026178,669,1297,0.5158057054741712,212,613,0.3458401305057096,513,730,0.7027397260273973,1233,521,240,221,2487
Belmont,0,15,33,23.0,10.0,0.696969696969697,14.0,4.0,0.7777777777777778,72.4,64.5,7.900000000000006,-0.39,-4.71,848,1836,0.46187363834422657,560,1025,0.5463414634146342,288,811,0.35511713933415534,406,587,0.6916524701873935,1228,513,201,105,2390
Boston College,1,7,33,21.0,12.0,0.6363636363636364,10.0,6.0,0.625,74.3,69.8,4.5,13.76,9.21,842,1763,0.4775950085082246,646,1201,0.5378850957535387,196,562,0.3487544483985765,573,791,0.7243994943109987,1142,483,188,191,2453
BYU,0,8,34,25.0,9.0,0.7352941176470589,13.0,3.0,0.8125,78.1,69.0,9.099999999999994,11.38,3.95,972,1981,0.4906612821807168,716,1364,0.5249266862170088,256,617,0.41491085899513774,454,688,0.6598837209302325,1273,542,205,118,2654
Butler,2,5,36,29.0,7.0,0.8055555555555556,13.0,3.0,0.8125,67.6,57.1,10.499999999999993,14.34,3.94,780,1792,0.43526785714285715,459,921,0.498371335504886,321,871,0.3685419058553387,553,728,0.7596153846153846,1068,437,195,64,2434
Central Connecticut,0,16,34,22.0,12.0,0.6470588235294118,16.0,2.0,0.8888888888888888,68.9,66.1,2.8000000000000114,-3.63,-6.48,790,1822,0.433589462129528,528,1134,0.4656084656084656,262,688,0.3808139534883721,502,688,0.7296511627906976,1180,424,204,115,2344
Creighton,0,10,33,22.0,11.0,0.6666666666666666,13.0,5.0,0.7222222222222222,67.3,60.9,6.399999999999999,12.57,6.24,740,1662,0.4452466907340554,535,1055,0.5071090047393365,205,607,0.33772652388797364,535,710,0.7535211267605634,1080,441,210,83,2220
Davidson,0,13,34,29.0,5.0,0.8529411764705882,17.0,1.0,0.9444444444444444,81.3,68.7,12.599999999999994,8.31,-2.25,969,2157,0.44923504867872044,641,1269,0.5051221434200157,328,888,0.36936936936936937,499,663,0.7526395173453997,1378,559,272,91,2765
