Name,Wins,Seed,G,W,L,WPer,CW,CL,CWPer,PSG,PAG,PDG,SRS,SOS,FGM,FGA,FGPer,TwFGM,TwFGA,TwFGPer,ThFGM,ThFGA,ThFGPer,FTM,FTA,FTPer,Reb,Ast,Stl,Blk,Pts
Alabama-Birmingham,1,11,33,22.0,11.0,0.6666666666666666,10.0,6.0,0.625,77.5,71.8,5.700000000000003,10.41,4.78,900,1996,0.45090180360721444,683,1371,0.49817651349380015,217,625,0.3472,540,776,0.6958762886597938,1090,516,382,99,2557
Alabama,0,5,32,24.0,8.0,0.75,12.0,4.0,0.75,75.8,65.1,10.700000000000003,16.74,6.81,819,1694,0.4834710743801653,570,1062,0.536723163841808,249,632,0.3939873417721519,539,732,0.7363387978142076,1179,453,164,143,2426
Arizona,2,3,37,30.0,7.0,0.8108108108108109,15.0,3.0,0.8333333333333334,79.7,69.7,10.0,18.0,8.03,1077,2255,0.4776053215077605,824,1625,0.5070769230769231,253,630,0.4015873015873016,541,697,0.776183644189383,1361,610,296,144,2948
Boston College,1,4,30,25.0,5.0,0.8333333333333334,13.0,3.0,0.8125,72.5,64.5,8.0,14.38,6.41,768,1685,0.45578635014836794,644,1192,0.540268456375839,124,493,0.2515212981744422,514,722,0.7119113573407202,1135,527,217,123,2174
Bucknell,1,14,33,23.0,10.0,0.696969696969697,10.0,4.0,0.7142857142857143,63.5,59.0,4.5,2.12,-2.19,704,1585,0.4441640378548896,486,994,0.48893360160965793,218,591,0.3688663282571912,471,672,0.7008928571428571,1044,416,262,96,2097
UCF,0,15,33,24.0,9.0,0.7272727272727273,13.0,7.0,0.65,69.8,65.2,4.599999999999994,-4.91,-7.78,784,1702,0.4606345475910693,501,943,0.5312831389183457,283,759,0.37285902503293805,453,651,0.695852534562212,1174,512,221,143,2304
Charlotte,0,7,29,21.0,8.0,0.7241379310344828,12.0,4.0,0.75,77.8,72.2,5.599999999999994,9.63,3.97,763,1767,0.4318053197509904,531,1137,0.46701846965699206,232,630,0.3682539682539683,499,730,0.6835616438356165,1119,409,252,92,2257
Chattanooga,0,15,31,20.0,11.0,0.6451612903225806,10.0,6.0,0.625,72.7,65.6,7.1000000000000085,-1.37,-3.59,795,1746,0.45532646048109965,627,1192,0.5260067114093959,168,554,0.30324909747292417,495,729,0.6790123456790124,1284,450,231,60,2253
Cincinnati,1,7,33,25.0,8.0,0.7575757575757576,12.0,4.0,0.75,75.9,64.5,11.400000000000006,17.64,6.74,839,1923,0.43629745189807595,618,1289,0.4794414274631497,221,634,0.34858044164037855,606,878,0.6902050113895216,1355,493,179,225,2505
UConn,1,2,31,23.0,8.0,0.7419354838709677,13.0,3.0,0.8125,78.0,66.8,11.200000000000003,18.82,7.62,862,1872,0.46047008547008544,708,1386,0.5108225108225108,154,486,0.3168724279835391,541,773,0.6998706338939198,1412,531,189,275,2419
Creighton,0,10,34,23.0,11.0,0.6764705882352942,11.0,7.0,0.6111111111111112,71.2,64.9,6.299999999999997,10.14,3.84,823,1820,0.4521978021978022,530,1113,0.47619047619047616,293,707,0.4144271570014144,482,660,0.7303030303030303,1063,483,234,111,2421
